HIP_number,Name
43813,43813
43825,43825
43878,43878
43937,43937
44066,acubens
44127,talitha
44191,44191
44248,44248
44382,44382
44390,44390
44471,alkaphrah
44511,44511
44599,44599
44626,44626
44659,44659
44700,44700
44816,suhail
44824,44824
44901,44901
45038,45038
45075,45075
45080,45080
45085,45085
45101,45101
45238,miaplacidus
45336,45336
45439,45439
45448,45448
45493,45493
45496,45496
45556,aspidiske
45688,45688
45751,45751
45811,45811
45856,45856
45860,45860
45902,45902
45941,45941
46026,46026
46146,46146
46371,46371
46390,alphard
46509,46509
46515,46515
46651,46651
46701,46701
46733,46733
46750,alterf
46771,46771
46776,46776
46853,46853
46952,46952
46974,46974
46977,46977
47006,47006
47029,47029
47175,47175
47193,47193
47310,47310
47391,47391
47431,ukdah
47508,subra
47522,47522
47592,47592
47758,47758
47854,47854
47908,47908
48002,48002
48319,48319
48356,zhang
48374,48374
48402,48402
48455,rasalas
48559,48559
48615,felis
48774,48774
49029,49029
49402,49402
49583,49583
49593,49593
49637,49637
49641,49641
49669,regulus
49712,49712
49841,49841
50099,50099
50191,50191
50335,adhafera
50371,50371
50372,tania borealis
50555,50555
50564,50564
50583,50583
50676,50676
50799,50799
50801,tania australis
50847,50847
50933,50933
50954,50954
51056,51056
51069,51069
51172,51172
51192,51192
51232,51232
51233,51233
51438,51438
51459,51459
51495,51495
51523,51523
51576,51576
51624,51624
51658,51658
51808,51808
51839,51839
51849,51849
51979,51979
51986,51986
52009,52009
52085,52085
52098,52098
52102,52102
52154,52154
52370,52370
52419,52419
52468,52468
52502,52502
52633,52633
52727,52727
52736,52736
52943,52943
53229,praecipua
53253,53253
53295,53295
53417,53417
53502,53502
53740,alkes
53773,53773
53807,53807
53824,53824
53907,53907
53910,merak
53954,53954
54061,54061
54182,54182
54204,54204
54301,54301
54463,54463
54539,54539
54682,54682
54751,54751
54872,zosma
54879,chertan
54951,54951
55084,55084
55219,alula borealis
55266,55266
55282,55282
55425,55425
55434,55434
55560,55560
55642,55642
55687,55687
55705,55705
55945,55945
56127,56127
56211,giausar
56280,56280
56343,56343
56480,56480
56561,56561
56633,56633
56647,56647
56922,56922
56986,56986
57283,57283
57328,57328
57363,57363
57380,57380
57399,taiyangshou
57439,57439
57443,57443
57565,57565
57581,57581
57632,denebola
57669,57669
57696,57696
57757,zavijava
57803,57803
57851,57851
57936,57936
58001,phecda
58484,58484
58590,58590
58758,58758
58867,58867
58948,58948
59072,59072
59173,59173
59196,59196
59199,alchiba
59316,minkar
59449,59449
59747,imai
59774,megrez
59803,gienah
59847,59847
59856,59856
59929,59929
60000,60000
60009,60009
60129,zaniah
60172,60172
60202,60202
60260,ginan
60351,60351
60485,60485
60697,60697
60710,60710
60718,60718
60742,60742
60746,60746
60823,60823
60965,algorab
61084,gacrux
61174,61174
61199,61199
61281,61281
61317,chara
61359,kraz
61384,61384
61394,61394
61585,61585
61622,61622
61740,61740
61789,61789
61932,61932
61941,porrima
61960,61960
61966,61966
62012,62012
62268,62268
62322,62322
62327,62327
62434,mimosa
62683,62683
62763,62763
62867,62867
62886,62886
62896,62896
62956,alioth
62985,62985
63003,63003
63007,63007
63090,minelauva
63125,cor caroli
63355,63355
63462,63462
63503,63503
63608,vindemiatrix
63613,63613
63724,63724
63945,63945
64004,64004
64022,64022
64166,64166
64238,64238
64241,diadem
64394,64394
64408,64408
64425,64425
64540,64540
64583,64583
64661,64661
64820,64820
64844,64844
64852,64852
64924,64924
64962,64962
65109,65109
65271,65271
65378,mizar a
65387,65387
65474,spica nebula
65477,alcor
65639,65639
65721,65721
65936,65936
66006,66006
66200,66200
66234,66234
66249,heze
66257,66257
66458,66458
66657,66657
66738,66738
66821,66821
67153,67153
67234,67234
67275,67275
67301,alkaid
67457,67457
67459,67459
67464,67464
67472,67472
67480,67480
67494,67494
67627,67627
67665,67665
67669,67669
67786,67786
67927,muphrid
68002,68002
68191,68191
68245,68245
68282,68282
68520,68520
68523,68523
68702,agena
68756,thuban
68862,68862
68895,68895
68933,menkent
69112,69112
69191,69191
69226,69226
69269,69269
69389,69389
69427,kang
69483,69483
69673,arcturus
69701,syrma
69713,69713
69732,xuange
69879,69879
69896,69896
69974,khambalia
69996,69996
70027,70027
70069,70069
70090,70090
70104,70104
70264,70264
70300,70300
70306,70306
70327,70327
70497,70497
70574,70574
70576,70576
70638,70638
70692,70692
70753,70753
70755,elgafar
71053,71053
71075,seginus
71121,71121
71284,71284
71352,71352
71536,71536
71681,toliman
71683,rigil kentaurus
71762,71762
71795,71795
71832,71832
71860,71860
71865,71865
71908,71908
71957,71957
71995,71995
72010,72010
72104,72104
72105,izar
72125,72125
72220,72220
72370,72370
72571,72571
72607,72607
72622,zubenelgenubi
72631,72631
72659,72659
72683,72683
73165,73165
73199,73199
73273,73273
73334,73334
73473,73473
73555,nekkar
73568,73568
73620,73620
73695,i boo*
73714,brachium
73745,73745
73807,73807
73996,73996
74117,74117
74376,74376
74392,74392
74395,74395
74449,74449
74604,74604
74666,74666
74785,zubeneschamali
74824,74824
74837,74837
74857,74857
74911,74911
74946,74946
75097,pherkad
75141,75141
75177,75177
75206,75206
75264,75264
75304,75304
75312,75312
75323,75323
75379,75379
75411,alkalurops
75458,edasich
75501,75501
75695,nusakan
76041,76041
76127,76127
76219,76219
76267,alphecca
76276,76276
76297,76297
76333,76333
76371,76371
76440,76440
76470,76470
76552,76552
76600,76600
76669,76669
76705,76705
76742,76742
76829,76829
76852,76852
76880,76880
76945,76945
76952,76952
77055,77055
77070,unukalhai
77233,chow
77257,77257
77450,gudja
77512,77512
77516,77516
77622,77622
77634,77634
77635,77635
77655,77655
77661,77661
77760,77760
77840,77840
77853,77853
77952,77952
78072,78072
78104,iklil
78159,78159
78180,78180
78207,78207
78265,fang
78323,78323
78384,78384
78401,dschubba
78493,78493
78527,78527
78554,78554
78592,78592
78639,78639
78650,78650
78655,78655
78662,78662
78820,78820
78821,78821
78914,78914
78918,78918
78933,78933
78990,78990
79101,79101
79119,79119
79374,jabbah
79375,79375
79404,79404
79509,79509
79593,yed prior
79664,79664
79790,79790
79822,79822
79881,79881
79882,yed posterior
79992,79992
80000,80000
80047,80047
80079,80079
80112,alniyat
80170,80170
80179,80179
80181,80181
80331,athebyne
80343,80343
80463,cujam
80473,80473
80569,80569
80582,80582
80628,80628
80650,80650
80686,80686
80704,80704
80763,antares
80815,80815
80816,kornephoros
80883,marfik
80894,80894
80911,80911
80975,80975
81008,81008
81065,81065
81122,81122
81126,81126
81266,paikauhale
81304,81304
81377,81377
81497,81497
81660,81660
81693,81693
81724,81724
81833,81833
81852,81852
82020,82020
82080,82080
82273,atria
82321,82321
82363,82363
82369,82369
82396,larawag
82514,82514
82545,pipirima
82671,82671
82673,82673
82729,82729
82860,82860
83000,83000
83081,83081
83153,83153
83207,83207
83262,83262
83430,83430
83574,83574
83608,alrakis
83613,83613
83895,aldhibah
84012,sabik
84143,84143
84345,rasalgethi
84379,sarin
84380,84380
84405,guniibuu
84514,84514
84573,84573
84606,84606
84880,84880
84893,84893
84969,84969
84970,84970
85112,85112
85258,85258
85267,85267
85340,85340
85355,85355
85365,85365
85423,85423
85670,rastaban
85693,maasym
85696,lesath
85727,85727
85755,85755
85792,85792
85819,85819
85822,yildun
85829,85829
85927,shaula
86032,rasalhague
86092,86092
86170,86170
86201,86201
86228,sargas
86263,86263
86284,86284
86414,86414
86486,86486
86565,86565
86614,dziban
86670,86670
86736,86736
86742,cebalrai
86929,86929
86974,86974
87072,87072
87073,87073
87108,87108
87220,87220
87261,fuyue
87294,87294
87585,grumium
87808,87808
87833,87833
87846,87846
87933,87933
87936,87936
87998,87998
88048,88048
88116,88116
88128,88128
88149,88149
88175,88175
88192,88192
88267,88267
88290,88290
88404,88404
88567,88567
88601,88601
88635,alnasl
88657,88657
88714,88714
88726,88726
88765,88765
88771,88771
88794,88794
88839,88839
88866,88866
88886,88886
89112,89112
89153,89153
89172,89172
89341,polis
89348,89348
89642,89642
89678,89678
89826,89826
89861,89861
89908,89908
89918,89918
89931,kaus media
89937,89937
89962,89962
90098,90098
90135,90135
90139,90139
90156,90156
90185,kaus australis
90289,90289
90344,orbitar
90422,90422
90496,kaus borealis
90568,90568
90595,90595
90797,90797
90830,90830
90905,90905
90982,90982
91117,91117
91262,vega
91726,91726
91792,91792
91845,91845
91918,91918
91919,91919
91926,91926
91971,91971
92024,92024
92041,92041
92043,92043
92088,92088
92161,92161
92175,92175
92420,sheliak
92512,92512
92609,92609
92689,92689
92761,ainalrami
92782,92782
92791,92791
92818,92818
92855,nunki
92862,92862
92946,alya
92951,92951
93015,93015
93026,93026
93085,93085
93148,93148
93174,93174
93194,sulafat
93244,93244
93279,93279
93429,93429
93506,ascella
93542,93542
93683,93683
93747,93747
93805,okab
93825,93825
93864,93864
94005,94005
94114,meridiana
94141,albaldah
94160,94160
94376,altais
94481,aladfar
94643,94643
94648,94648
94703,94703
94713,94713
94779,94779
94820,94820
95066,95066
95081,95081
95168,95168
95176,95176
95241,arkab prior
95294,arkab posterior
95347,rukbat
95372,95372
95501,95501
95585,95585
95771,anser
95853,95853
95947,albereo
96052,96052
96100,alsafi
96229,96229
96341,96341
96441,96441
96465,96465
96468,96468
96483,96483
96683,96683
96757,sham
96837,96837
