HIP_number_a,HIP_number_b,distance
86170,86670,1.222144833261912
33579,33856,1.2402082242363164
101958,102281,1.2443348375517815
19343,19812,1.2534435236282924
88192,88601,1.2786253158851613
60009,60718,1.2816264409505795
42312,42884,1.284424276237732
109492,109857,1.2867757057828868
84970,85340,1.2888894956470207
67153,67669,1.2902558650312184
20042,20535,1.2930772385831342
22797,23123,1.2963064474489954
102281,102532,1.301365965334739
112440,112748,1.304391150777951
34444,34981,1.313606020109208
61585,62322,1.3200004397805822
72683,73273,1.3284998664968233
71121,71536,1.3349822200191084
26311,26727,1.3560131460565725
69996,70576,1.3638315813219886
58758,59072,1.3684220210935019
2072,2081,1.3717881052043808
93683,94141,1.3832693417506836
25930,26311,1.3860063974155954
59072,60009,1.3929332511587305
89908,89937,1.3931215807710968
74376,74911,1.3960373030495976
22449,22549,1.3974280718453025
38518,38957,1.403029034201998
79593,79882,1.406557516242971
101769,101958,1.4102428195556074
27628,28199,1.422303739217429
93429,93805,1.4235624634797086
17797,17874,1.429841901737403
94114,94160,1.4400694419568434
104887,105102,1.4406504336047667
23972,24436,1.4430812828963329
20648,20889,1.455317352822926
25336,25813,1.461516683973538
81065,81852,1.4627470198969539
86670,87073,1.4723013488530219
34444,35037,1.4844705259632172
76297,76552,1.5011886480461931
101769,102281,1.5058430438406156
88290,88601,1.5072999317879687
9480,9598,1.518905726370347
30277,30788,1.5317351752157167
26311,26549,1.5346799968984337
8832,8903,1.536417189290887
67457,67669,1.5387027662517863
39429,40091,1.541752785346503
24436,24674,1.555701762389678
57669,58758,1.558844180868378
51232,51849,1.5590509392034921
3031,3092,1.5594003460870092
24327,24845,1.5629070385184174
20205,20713,1.5775756154965381
78820,79374,1.5822648580222414
45080,45496,1.582687569765561
18744,19780,1.6024194281441184
67153,67457,1.6100356865673464
110960,111497,1.6334913038762935
85927,86170,1.6383644310604326
67472,68245,1.643458270213636
88192,88290,1.6499221208801949
76470,76600,1.6811280836162223
67464,68245,1.6828254550556014
11001,12394,1.6840003484735822
30438,31407,1.6881091509043122
70090,70300,1.6970833654963446
101958,102532,1.6996334121626377
37819,38455,1.7013078514333928
50372,50801,1.7147238899288613
38414,38455,1.7149329122708379
78933,79374,1.7160456368080257
68245,68862,1.7199773922570945
34981,35415,1.7211884252976808
59196,59449,1.7238803546150103
80343,80569,1.7249916372442262
3179,3821,1.7309276489020948
43234,43813,1.733948676279781
56561,57669,1.7352994003031654
45496,45556,1.7375054592937467
93085,93683,1.7385062413945467
13531,14328,1.7468615990230212
106985,107556,1.7504847465279822
84380,85112,1.7570753029062152
85696,86170,1.7593781451958896
78990,79374,1.7727233707219576
59173,59449,1.794998116913624
96757,97365,1.807334293911749
50371,51576,1.8162596805375397
59747,60260,1.8290370414659773
114131,114421,1.8352911304721182
96837,97365,1.8415656128084523
95853,96441,1.8432141014766872
58758,60009,1.8440404180360435
24674,25247,1.8441361024436942
20885,21421,1.8456089704407028
93244,93747,1.8480607481837048
76267,76952,1.848703906108902
112029,112447,1.8538839221928614
20894,21421,1.8553155219505404
