HIP_number_a,HIP_number_b,distance
17531,17608,0.5781551915272536
8497,8645,0.5796513692410554
96757,96837,0.5837048769088199
20542,20648,0.5867191831828881
69483,69713,0.5935709290583387
17499,17702,0.5954078430288035
85696,85927,0.5981252680237799
4151,4427,0.6011011317666155
20713,20894,0.6120030440643112
26199,26221,0.6150092727224938
26199,26220,0.6171301760521141
26199,26224,0.6173106129963432
60965,61174,0.6181535735244148
17531,17702,0.6326304936065481
20713,20885,0.6370818615769138
71995,72105,0.6483508923312903
75177,75304,0.6557398414901078
17608,17847,0.6561967308251955
63724,64004,0.6616761090032998
80047,81065,0.66754093781142
76705,76945,0.6707089550392477
100064,100310,0.6715764059896568
78384,78655,0.6741321714132718
42570,42624,0.6759799015334172
36188,36284,0.6836723191025316
84380,84606,0.711819452903384
43109,43234,0.7122667192161212
20455,20648,0.7201544260266578
38089,38164,0.721282778060022
61966,62434,0.7291013013089745
77635,77840,0.7298178053568709
61622,61932,0.7553466915127344
105881,106039,0.7692996745574558
23453,23767,0.7762288874897391
26207,26366,0.7772379996557858
100027,100310,0.7772825363129704
67464,67472,0.7862955523467748
29417,29651,0.7927327331132171
112948,113246,0.7944960966248467
18597,18744,0.8005492137372126
26727,26736,0.8140725260623888
17573,17847,0.8229466615156221
26551,26727,0.825226255062147
26549,26727,0.8276327752801484
88765,88771,0.8300520259343075
90422,90830,0.8333410022923805
45080,45556,0.8438192215501407
85258,85267,0.8479443058239031
61622,62012,0.8514454575111711
12394,12876,0.8575494848695436
88567,88635,0.8610589030044964
31125,31416,0.8640888476220326
71053,71284,0.8790181696875611
15863,16244,0.8887252318337137
40091,40326,0.8930572345910632
154,443,0.8936189084435585
69996,70104,0.900468497416685
115438,115669,0.9015797391192384
44390,45038,0.902669285450416
98066,98162,0.9048310574866187
20713,20732,0.9066682352426711
21248,21393,0.9099835910575768
15900,16083,0.9126891595445362
74824,75323,0.9153269919707654
38500,38957,0.9191855720282929
78820,78933,0.9215745386928132
78821,78933,0.9244423711948271
